"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4155021,"12","Toronto-St. Paul's",1971,"PRIVATE",4,35,89,1
4155020,"12","Toronto-St. Paul's",1971,"PRIVATE",4,39,87,1
4153338,"12","Toronto-St. Paul's",1987,"SOCIAL HOUSING",7,150,92,2
4155012,"12","Toronto-St. Paul's",1955,"PRIVATE",6,130,92,1
4155011,"12","Toronto-St. Paul's",1960,"PRIVATE",6,124,94,1
4155010,"12","Toronto-St. Paul's",1958,"PRIVATE",5,55,80,1
4264085,"13","Toronto Centre",1979,"PRIVATE",26,284,95,1
5156127,"13","Toronto Centre",1972,"PRIVATE",30,240,87,1
4153479,"13","Toronto Centre",1993,"TCHC",8,72,97,3
4153639,"14","Toronto-Danforth",1915,"PRIVATE",4,42,87,1
4153742,"11","University-Rosedale",1986,"PRIVATE",5,25,89,1
4154972,"12","Toronto-St. Paul's",1930,"PRIVATE",4,40,86,1
4153462,"13","Toronto Centre",1970,"TCHC",20,340,82,3
4937758,"11","University-Rosedale",1940,"PRIVATE",10,210,92,1
4153740,"11","University-Rosedale",1980,"PRIVATE",4,37,54,1
4235524,"12","Toronto-St. Paul's",1996,"PRIVATE",7,102,89,1
4153988,"12","Toronto-St. Paul's",1930,"PRIVATE",3,10,70,1
4153444,"13","Toronto Centre",1986,"TCHC",5,132,77,3
4153453,"13","Toronto Centre",1939,"PRIVATE",3,16,87,1
4153461,"13","Toronto Centre",1969,"PRIVATE",33,447,68,1
4233264,"13","Toronto Centre",2007,"PRIVATE",12,188,96,1
4153437,"13","Toronto Centre",1930,"PRIVATE",4,22,72,1
4153582,"13","Toronto Centre",1991,"SOCIAL HOUSING",3,26,84,2
4153581,"13","Toronto Centre",1976,"TCHC",7,81,81,3
4167701,"13","Toronto Centre",1980,"TCHC",3,12,78,3
4153579,"13","Toronto Centre",1891,"SOCIAL HOUSING",3,16,92,2
4269424,"14","Toronto-Danforth",1950,"SOCIAL HOUSING",5,28,84,2
4153644,"14","Toronto-Danforth",1996,"SOCIAL HOUSING",5,29,93,2
4153645,"14","Toronto-Danforth",1994,"SOCIAL HOUSING",5,45,96,2
4153640,"14","Toronto-Danforth",1965,"PRIVATE",3,12,56,1
5132414,"11","University-Rosedale",2018,"PRIVATE",43,595,97,1
4171378,"11","University-Rosedale",1973,"PRIVATE",25,225,94,1
4897867,"11","University-Rosedale",2020,"PRIVATE",32,275,98,1
4153580,"13","Toronto Centre",1930,"PRIVATE",4,15,93,1
4153457,"13","Toronto Centre",1995,"SOCIAL HOUSING",15,138,91,2
4153443,"13","Toronto Centre",1973,"PRIVATE",11,241,72,1
4153572,"13","Toronto Centre",1980,"TCHC",7,155,90,3
4153574,"13","Toronto Centre",1991,"SOCIAL HOUSING",4,29,87,2
4265577,"13","Toronto Centre",2012,"SOCIAL HOUSING",5,32,85,2
4250271,"13","Toronto Centre",1991,"SOCIAL HOUSING",4,37,97,2
4153576,"14","Toronto-Danforth",1973,"TCHC",4,29,97,3
4155607,"14","Toronto-Danforth",1960,"TCHC",4,81,89,3
4153148,"09","Davenport",1986,"SOCIAL HOUSING",7,149,89,2
4153074,"09","Davenport",1911,"PRIVATE",3,12,76,1
4155590,"09","Davenport",1959,"TCHC",6,106,82,3
4242360,"09","Davenport",2016,"PRIVATE",8,95,96,1
4153514,"13","Toronto Centre",1970,"PRIVATE",24,172,89,1
4153511,"13","Toronto Centre",1968,"PRIVATE",18,107,80,1
4153512,"13","Toronto Centre",1917,"PRIVATE",5,32,72,1
4153781,"12","Toronto-St. Paul's",1963,"PRIVATE",15,162,92,1
4153782,"12","Toronto-St. Paul's",1966,"PRIVATE",30,575,98,1
4155615,"12","Toronto-St. Paul's",1977,"TCHC",16,156,93,3
4153195,"11","University-Rosedale",1913,"PRIVATE",3,20,76,1
5239236,"11","University-Rosedale",2021,"PRIVATE",9,210,98,1
4255532,"09","Davenport",2006,"PRIVATE",6,171,70,1
4255546,"09","Davenport",2008,"PRIVATE",5,74,82,1
4152942,"09","Davenport",1920,"PRIVATE",3,10,48,1
4155067,"09","Davenport",1967,"PRIVATE",9,90,84,1
4153502,"13","Toronto Centre",1918,"PRIVATE",4,15,94,1
4153503,"13","Toronto Centre",1925,"PRIVATE",4,16,76,1
4153525,"13","Toronto Centre",1929,"PRIVATE",5,39,94,1
4153524,"13","Toronto Centre",1993,"SOCIAL HOUSING",4,22,95,2
4154002,"12","Toronto-St. Paul's",1940,"PRIVATE",3,21,81,1
4153631,"14","Toronto-Danforth",1989,"SOCIAL HOUSING",5,19,94,2
4153624,"14","Toronto-Danforth",1995,"SOCIAL HOUSING",3,16,92,2
4153620,"14","Toronto-Danforth",1989,"SOCIAL HOUSING",4,14,95,2
4153610,"14","Toronto-Danforth",1965,"PRIVATE",24,200,97,1
4153359,"12","Toronto-St. Paul's",1928,"PRIVATE",6,68,87,1
4153458,"11","University-Rosedale",2011,"SOCIAL HOUSING",5,50,86,2
4153801,"12","Toronto-St. Paul's",1981,"TCHC",15,266,91,3
4153805,"12","Toronto-St. Paul's",1930,"PRIVATE",4,25,81,1
4153804,"12","Toronto-St. Paul's",1972,"TCHC",10,99,89,3
4153991,"12","Toronto-St. Paul's",1950,"PRIVATE",3,18,78,1
4153990,"12","Toronto-St. Paul's",1950,"PRIVATE",3,18,78,1
4153993,"12","Toronto-St. Paul's",1920,"PRIVATE",3,18,84,1
4154001,"12","Toronto-St. Paul's",1955,"PRIVATE",3,31,93,1
4153943,"12","Toronto-St. Paul's",1950,"PRIVATE",4,33,82,1
4296586,"12","Toronto-St. Paul's",1950,"PRIVATE",4,27,85,1
4296588,"12","Toronto-St. Paul's",1950,"PRIVATE",4,32,86,1
4153945,"12","Toronto-St. Paul's",1950,"PRIVATE",3,31,90,1
4153946,"12","Toronto-St. Paul's",1930,"PRIVATE",3,17,84,1
4155004,"12","Toronto-St. Paul's",1980,"PRIVATE",7,146,92,1
4155006,"12","Toronto-St. Paul's",1955,"PRIVATE",4,34,87,1
4155005,"12","Toronto-St. Paul's",1955,"PRIVATE",3,33,87,1
4155039,"12","Toronto-St. Paul's",1960,"PRIVATE",3,37,78,1
4169173,"12","Toronto-St. Paul's",1960,"PRIVATE",3,38,74,1
4155685,"12","Toronto-St. Paul's",1981,"TCHC",14,300,91,3
4155031,"12","Toronto-St. Paul's",1960,"PRIVATE",3,41,78,1
4155066,"09","Davenport",1963,"PRIVATE",3,36,78,1
4155065,"09","Davenport",1959,"PRIVATE",5,78,89,1
4289265,"11","University-Rosedale",2011,"SOCIAL HOUSING",17,250,87,2
4156366,"12","Toronto-St. Paul's",1982,"SOCIAL HOUSING",3,18,94,2
4153738,"11","University-Rosedale",1957,"PRIVATE",4,66,85,1
4155959,"11","University-Rosedale",1957,"PRIVATE",4,59,88,1
4153736,"11","University-Rosedale",1950,"PRIVATE",3,61,85,1
4153460,"11","University-Rosedale",1985,"TCHC",16,101,85,3
4153415,"11","University-Rosedale",1961,"PRIVATE",14,120,86,1
4153413,"11","University-Rosedale",1970,"PRIVATE",15,268,83,1
4154142,"14","Toronto-Danforth",1945,"PRIVATE",4,38,86,1
